dataset,scene,mean_error,rho_d,rho_a,auroc_d,auroc_a
eth3d,courtyard,0.0107,0.475,0.088,0.847,0.515
eth3d,courtyard,0.0147,0.019,0.336,0.617,0.649
eth3d,courtyard,0.0124,0.592,0.260,0.883,0.593
eth3d,courtyard,0.0170,0.695,0.361,0.924,0.650
eth3d,delivery_area,0.0064,0.083,-0.129,0.607,0.375
eth3d,delivery_area,0.0225,0.498,0.363,0.904,0.644
eth3d,delivery_area,0.0130,0.027,0.066,0.686,0.545
eth3d,delivery_area,0.0279,0.390,-0.109,0.852,0.589
eth3d,electro,0.0204,0.709,0.375,0.912,0.729
eth3d,electro,0.0088,0.107,0.402,0.818,0.755
eth3d,electro,0.0963,0.812,-0.127,0.991,0.535
eth3d,electro,0.0137,0.356,0.130,0.799,0.630
eth3d,facade,0.0129,0.652,0.513,0.882,0.914
eth3d,facade,0.0221,0.869,0.728,0.956,0.881
eth3d,facade,0.0707,0.814,0.778,0.738,0.776
eth3d,facade,0.0372,0.015,-0.244,0.652,0.585
eth3d,kicker,0.0225,0.408,-0.178,0.865,0.403
eth3d,kicker,0.0227,0.662,-0.153,0.897,0.414
eth3d,kicker,0.0133,0.495,0.131,0.850,0.775
eth3d,kicker,0.0121,0.533,-0.098,0.845,0.440
eth3d,meadow,0.0112,0.647,0.409,0.906,0.878
eth3d,meadow,0.0232,0.523,0.451,0.831,0.715
eth3d,meadow,0.0091,0.614,0.142,0.935,0.735
eth3d,office,0.0087,0.138,0.005,0.569,0.475
eth3d,office,0.0092,0.404,0.087,0.768,0.518
eth3d,office,0.0080,0.341,-0.365,0.828,0.265
eth3d,office,0.0164,0.518,0.182,0.942,0.521
eth3d,pipes,0.0099,0.196,0.363,0.772,0.462
eth3d,pipes,0.0270,0.717,-0.279,0.930,0.287
eth3d,pipes,0.0057,0.175,-0.230,0.814,0.447
eth3d,pipes,0.0114,0.351,-0.128,0.854,0.517
eth3d,playground,0.0390,0.238,0.289,0.893,0.888
eth3d,playground,0.0725,0.675,0.468,0.850,0.872
eth3d,playground,0.0778,-0.137,0.242,0.594,0.721
eth3d,playground,0.0439,0.210,-0.065,0.811,0.473
eth3d,relief,0.0142,0.346,0.249,0.822,0.781
eth3d,relief,0.0109,0.372,0.291,0.856,0.798
eth3d,relief,0.0145,0.521,0.357,0.822,0.781
eth3d,relief,0.0128,0.432,0.167,0.694,0.828
eth3d,relief_2,0.0157,0.409,0.325,0.835,0.808
eth3d,relief_2,0.0217,0.458,0.337,0.935,0.797
eth3d,relief_2,0.0176,0.106,0.396,0.656,0.846
eth3d,relief_2,0.0215,0.619,0.106,0.826,0.623
eth3d,terrace,0.0218,0.318,0.062,0.856,0.718
eth3d,terrace,0.0097,0.609,-0.216,0.944,0.289
eth3d,terrace,0.0527,0.652,0.718,0.792,0.847
eth3d,terrace,0.0102,0.197,0.277,0.703,0.627
eth3d,terrains,0.0117,0.138,0.231,0.738,0.747
eth3d,terrains,0.0111,0.129,-0.012,0.619,0.435
eth3d,terrains,0.0229,0.527,-0.091,0.948,0.511
eth3d,terrains,0.0173,0.533,-0.188,0.902,0.339
sevenscenes,chess,0.0598,0.632,0.186,0.711,0.607
sevenscenes,chess,0.0562,0.298,-0.364,0.671,0.401
sevenscenes,chess,0.0631,0.630,-0.116,0.732,0.514
sevenscenes,chess,0.0891,0.151,0.084,0.658,0.653
sevenscenes,fire,0.0562,0.657,0.368,0.774,0.659
sevenscenes,fire,0.0557,0.641,0.337,0.746,0.747
sevenscenes,fire,0.0681,0.363,-0.105,0.760,0.591
sevenscenes,fire,0.0787,0.437,-0.285,0.850,0.517
sevenscenes,heads,0.0623,0.026,-0.099,0.620,0.500
sevenscenes,heads,0.0353,0.404,0.022,0.798,0.674
sevenscenes,heads,0.0333,0.399,-0.021,0.830,0.501
sevenscenes,heads,0.0893,0.340,0.113,0.621,0.536
sevenscenes,office,0.0737,0.620,-0.326,0.769,0.492
sevenscenes,office,0.0549,0.392,-0.184,0.649,0.470
sevenscenes,office,0.0606,0.549,-0.172,0.726,0.528
sevenscenes,office,0.0541,0.430,0.314,0.564,0.612
sevenscenes,pumpkin,0.0391,0.398,0.200,0.901,0.693
sevenscenes,pumpkin,0.0457,0.331,-0.176,0.773,0.493
sevenscenes,pumpkin,0.0511,0.469,0.216,0.721,0.591
sevenscenes,pumpkin,0.0397,0.626,0.033,0.847,0.596
sevenscenes,redkitchen,0.0599,0.475,0.300,0.661,0.662
sevenscenes,redkitchen,0.0699,0.608,0.238,0.894,0.643
sevenscenes,redkitchen,0.0437,0.343,-0.055,0.565,0.340
sevenscenes,redkitchen,0.0335,0.297,0.037,0.693,0.471
sevenscenes,stairs,0.0907,0.401,-0.196,0.742,0.510
sevenscenes,stairs,0.0837,0.721,0.280,0.822,0.578
sevenscenes,stairs,0.0808,0.212,-0.056,0.399,0.394
sevenscenes,stairs,0.0647,0.378,-0.016,0.619,0.569
tum,rgbd_dataset_freiburg1_360,0.0474,0.416,-0.149,0.687,0.716
tum,rgbd_dataset_freiburg1_360,0.1009,0.531,0.048,0.645,0.687
tum,rgbd_dataset_freiburg1_360,0.0430,0.553,0.350,0.907,0.643
tum,rgbd_dataset_freiburg1_360,0.0466,0.504,0.184,0.688,0.681
tum,rgbd_dataset_freiburg1_desk,0.0341,0.347,-0.075,0.835,0.633
tum,rgbd_dataset_freiburg1_desk,0.0418,0.663,0.326,0.858,0.743
tum,rgbd_dataset_freiburg1_desk,0.0497,0.271,0.194,0.773,0.737
tum,rgbd_dataset_freiburg1_desk,0.0109,0.294,0.251,0.794,0.797
tum,rgbd_dataset_freiburg1_desk2,0.0720,0.705,0.122,0.861,0.740
tum,rgbd_dataset_freiburg1_desk2,0.0542,0.655,-0.002,0.870,0.645
tum,rgbd_dataset_freiburg1_desk2,0.0990,0.340,0.199,0.709,0.664
tum,rgbd_dataset_freiburg1_desk2,0.0162,0.394,0.349,0.833,0.816
tum,rgbd_dataset_freiburg1_room,0.0478,0.371,0.262,0.643,0.665
tum,rgbd_dataset_freiburg1_room,0.0262,0.466,0.466,0.863,0.900
tum,rgbd_dataset_freiburg1_room,0.0462,0.612,0.292,0.698,0.734
tum,rgbd_dataset_freiburg1_room,0.0388,0.558,0.208,0.903,0.683
tum,rgbd_dataset_freiburg1_xyz,0.0558,0.379,0.515,0.877,0.897
tum,rgbd_dataset_freiburg1_xyz,0.0433,0.327,0.348,0.642,0.771
tum,rgbd_dataset_freiburg1_xyz,0.0336,0.503,0.442,0.905,0.917
tum,rgbd_dataset_freiburg1_xyz,0.0181,0.255,0.026,0.850,0.817
tum,rgbd_dataset_freiburg2_desk,0.0353,0.386,0.491,0.649,0.794
tum,rgbd_dataset_freiburg2_desk,0.0332,0.370,0.445,0.908,0.928
tum,rgbd_dataset_freiburg2_desk,0.0365,0.264,0.320,0.927,0.961
tum,rgbd_dataset_freiburg2_desk,0.0319,0.628,0.465,0.846,0.945
tum,rgbd_dataset_freiburg3_long_office_household,0.0345,0.389,0.404,0.642,0.858
tum,rgbd_dataset_freiburg3_long_office_household,0.0360,0.444,0.408,0.695,0.773
tum,rgbd_dataset_freiburg3_long_office_household,0.0411,0.602,0.438,0.773,0.799
tum,rgbd_dataset_freiburg3_long_office_household,0.0383,0.453,0.374,0.755,0.733
tum,rgbd_dataset_freiburg3_structure_texture_far,0.0586,0.689,0.329,0.993,0.950
tum,rgbd_dataset_freiburg3_structure_texture_far,0.0158,0.287,0.549,0.863,0.954
tum,rgbd_dataset_freiburg3_structure_texture_far,0.0309,0.451,0.079,0.730,0.526
tum,rgbd_dataset_freiburg3_structure_texture_far,0.0215,0.492,0.396,0.903,0.898
